station,n_records,n_noise_onset,noise_onset_rate,n_pre_origin,n_post_origin,median_noise_rms,median_snr,median_search_latency_s,median_post_origin_latency_s
ACB,2,2,1.0,2,2,4.742681916476177e-07,194.02464023285225,-2.3716939999999997,14.685806
AIGLE,1,1,1.0,1,1,1.5056699721288992e-07,49.13172336349593,-0.555987,1.109013
BALST,4,4,1.0,2,4,6.033424186321366e-07,111.87622910703081,4.184488,8.540806
BERGE,2,2,1.0,2,2,2.584284213137641e-07,1357.8556588627994,-3.283282,10.409218
BERNI,2,2,1.0,1,2,1.1063993146001214e-07,428.7704902639703,3.3278625,9.6228625
BNALP,5,5,1.0,3,5,1.9884766648190697e-07,189.5216754237451,-0.453892,3.698863
BOURR,1,1,1.0,1,1,1.1792364625736903e-07,792.2759868617899,-1.942872,0.767128
BRANT,1,1,1.0,0,1,7.497556868768924e-07,13.926653789653075,4.115525,4.115525
CHAMB,1,1,1.0,1,1,1.284173488916559e-07,2871.7491568866994,-2.628885,2.336115
CHASS,3,3,1.0,1,3,7.755910438642057e-07,138.86438198014716,1.183451,2.748161
DAGMA,1,1,1.0,0,1,4.194653111670349e-06,16.153295575539637,6.237036,6.237036
DAVOX,2,2,1.0,1,2,1.111432976213317e-07,418.1315981918462,1.5953625,3.8403625000000003
DIX,2,2,1.0,1,2,1.275070555798518e-07,21604.33458670434,-1.2419275,2.1505725
EMBD,2,2,1.0,2,2,1.8768745338328578e-07,1083.0067517954726,-3.906314,35.047852
FIESA,4,4,1.0,3,4,2.017378883699426e-07,711.1487956246931,-2.409139,3.784159
FUORN,1,1,1.0,0,1,1.0220719650608123e-07,1487.1340995603948,4.241956,4.241956
FUSIO,1,1,1.0,0,1,1.0180351118230569e-07,39.93621398942888,8.469013,8.469013
GIMEL,3,3,1.0,1,3,2.2968725735211638e-07,159.3550871208296,0.764013,1.152132
GRYON,1,1,1.0,1,1,4.469623377540743e-08,678.5413986563434,-2.802499,1.307501
HASLI,4,4,1.0,2,4,6.809368703565171e-08,884.3950982657095,-0.9997020000000001,4.1798165
HAUIG,3,3,1.0,1,3,1.1703508543532367e-07,6836.61224104227,0.218468,3.752911
ILLEZ,1,1,1.0,0,1,1.3770613160172043e-07,170.44555702898333,0.959013,0.959013
JAUN,2,2,1.0,1,2,2.3862304410942457e-07,86.91044749880443,1.0451770000000002,7.050177
LAUCH,4,4,1.0,2,4,3.1071323457576777e-07,610.0406516968885,0.5206790000000001,5.054012500000001
LIENZ,2,2,1.0,0,2,1.7145076739881736e-07,143.98235349303872,6.1655975000000005,6.1655975000000005
LLS,2,2,1.0,2,2,7.076711614655172e-08,1483.5665036954779,-3.2145155,5.1454845
MESRY,1,1,1.0,1,1,2.010764033545297e-07,115.1361724067123,-3.983885,7.471115
METMA,2,2,1.0,1,2,3.0320507414328526e-07,1362.264382934188,2.3051445,5.2376445
MFERR,4,4,1.0,3,4,7.942032224687051e-08,257.6655890847482,-1.7160265000000001,2.2939735
MMK,2,2,1.0,1,2,1.5238317849174363e-07,192.8918036502223,-1.0926604999999998,6.2723395
MTI02,2,2,1.0,1,2,5.580855215599544e-07,360.0889809149121,-0.20586150000000014,3.5941384999999997
MUGIO,1,1,1.0,1,1,4.7796962729800605e-08,73.43087589502392,-4.304183,6.860817
MUO,1,1,1.0,1,1,3.0697984531951637e-07,15.373590881807043,-0.426778,18.956555
MUTEZ,5,5,1.0,4,5,3.394087734570084e-07,237.50653156971345,-3.001839,4.617911
PANIX,7,7,1.0,4,7,8.747505067767223e-08,688.3042150723802,-1.306532,3.003468
PERON,1,1,1.0,0,1,7.892394825909323e-07,132.60131868646988,11.925906,11.925906
PLONS,2,2,1.0,1,2,2.0779644252749967e-07,1441.227225399572,0.457673,4.572673
SALAN,2,2,1.0,2,2,1.682426865902166e-07,37.89218587426481,-4.0404815,7.584518500000001
SALEV,1,1,1.0,1,1,6.973106769912412e-07,88.32101549255934,-4.054094,8.620906
SENIN,1,1,1.0,0,1,4.398573149753266e-07,114.215221344025,1.420906,1.420906
SIMPL,1,1,1.0,1,1,4.8054311131598875e-08,1077.3953466611624,-4.012868,9.207132
SLE,5,4,0.8,3,5,7.603428593762352e-08,1122.4938715589487,-3.196231,1.666108
SULZ,4,4,1.0,2,4,9.868111272771117e-08,949.8915427860421,-0.49549,5.49587
TORNY,2,2,1.0,2,2,1.6002931032574904e-07,1940.8526874266427,-3.2679869999999998,2.8870129999999996
TRULL,1,1,1.0,0,1,2.4987762922337544e-07,2605.6404073824915,5.802128,5.802128
VANNI,4,4,1.0,3,4,1.516461153196844e-07,779.9250596685025,-2.346549,3.254082
VDL,1,1,1.0,1,1,3.073262247209651e-07,320.6758256909338,-2.803892,9.556108
VDR,1,1,1.0,1,1,9.615791793435131e-08,12.528853303484969,-1.596777,1.023223
VINZL,1,1,1.0,1,1,1.590688993389614e-07,198.0197429481289,-4.238885,7.011115
VMV,1,1,1.0,0,1,7.460481779266281e-08,108.77237360030428,9.295815,9.295815
WGT,3,3,1.0,2,3,1.354158188093221e-07,411.3870292615969,-2.864184,1.788863
WILA,1,1,1.0,1,1,1.0704383816214873e-07,2192.370325084346,-2.132089,0.467911
WIMIS,4,4,1.0,2,4,1.615343332712355e-07,196.45801331490492,1.2239719999999998,4.739642
ZUR,2,2,1.0,1,2,1.8147687579857717e-06,126.07014931785798,-0.45871949999999995,2.2237805
