,peak_amplitude,peak_to_peak_amplitude,rms,variance,std,zero_crossing_rate_hz,signal_energy,signal_entropy,crest_factor,dominant_frequency_hz,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_95_hz,spectral_entropy,p_arrival_time_s,signal_duration_s,pgm_proxy_counts,arias_intensity_counts2_s_proxy
peak_amplitude,1.0,0.9998888437555742,0.9767787622746743,0.9745948555136872,0.9767787622734447,-0.668474828904784,0.9745948555143084,-0.8265361408226761,0.38560320444643026,-0.16884154295388992,0.19661823639903891,-0.13483039896938473,-0.023307209426501562,0.31629416893197876,0.17294770687799801,-0.7266944839505028,1.0,0.9745948555143084
peak_to_peak_amplitude,0.9998888437555742,1.0,0.9798243293564375,0.9774009836978166,0.9798243293552882,-0.6727366997624338,0.9774009836983923,-0.8237195799664473,0.37863636605885126,-0.17179414401885565,0.1926191702919813,-0.13121701298118632,-0.01961012281738851,0.30826779364013135,0.16323085196975198,-0.7168502310797856,0.9998888437555742,0.9774009836983923
rms,0.9767787622746743,0.9798243293564375,1.0,0.9924204273926007,1.0,-0.721787014312106,0.992420427392545,-0.7657163935563744,0.27080493703969194,-0.20624771633099598,0.12473486769972908,-0.09456022041735737,0.019560502897361352,0.18068765734084502,0.03975701640945077,-0.5722726004916092,0.9767787622746743,0.992420427392545
variance,0.9745948555136872,0.9774009836978166,0.9924204273926007,1.0,0.9924204273921517,-0.6416052395320565,1.0,-0.784100167222194,0.31611579862327777,-0.15437366469336183,0.2000063086765306,-0.01312694051747296,0.0965330221266709,0.23703081088458583,0.06586565718410814,-0.5741513817456624,0.9745948555136873,1.0
std,0.9767787622734447,0.9798243293552882,1.0,0.9924204273921517,1.0,-0.7217870143099199,0.992420427392096,-0.7657163935429523,0.2708049370194701,-0.20624771632601915,0.12473486770030043,-0.09456022040974553,0.01956050290458867,0.18068765733466186,0.03975701642097562,-0.5722726004922404,0.9767787622734448,0.992420427392096
zero_crossing_rate_hz,-0.668474828904784,-0.6727366997624338,-0.721787014312106,-0.6416052395320565,-0.7217870143099199,1.0,-0.6416052395320277,0.5367863768086287,-0.044992124396055405,0.639864070955737,0.4793586644587767,0.6314728763243023,0.5567821653684989,0.23784396608539532,0.3172531167121719,0.2907211618197032,-0.668474828904784,-0.6416052395320277
signal_energy,0.9745948555143084,0.9774009836983923,0.992420427392545,1.0,0.992420427392096,-0.6416052395320277,1.0,-0.7841001672242699,0.3161157986264679,-0.15437366469354868,0.20000630867721242,-0.013126940518937615,0.09653302212523146,0.23703081088681405,0.06586565718456615,-0.5741513817476552,0.9745948555143081,1.0
signal_entropy,-0.8265361408226761,-0.8237195799664473,-0.7657163935563744,-0.784100167222194,-0.7657163935429523,0.5367863768086287,-0.7841001672242699,1.0,-0.7908138420431667,0.36663269059412856,-0.06111162346095034,0.29496627493087013,0.2146222838316354,-0.29968954450586893,0.011834777811698676,0.6197369295047024,-0.8265361408226762,-0.78410016722427
crest_factor,0.38560320444643026,0.37863636605885126,0.27080493703969194,0.31611579862327777,0.2708049370194701,-0.044992124396055405,0.3161157986264679,-0.7908138420431667,1.0,-0.1271462309076341,0.24558377927339697,-0.11664088980133447,-0.081286071498082,0.46590092343226946,-0.028765015218026338,-0.4312915751632922,0.3856032044464303,0.3161157986264679
dominant_frequency_hz,-0.16884154295388992,-0.17179414401885565,-0.20624771633099598,-0.15437366469336183,-0.20624771632601915,0.639864070955737,-0.15437366469354868,0.36663269059412856,-0.1271462309076341,1.0,0.8540068070039679,0.6964053221738945,0.7323976540012609,0.592821262387286,0.43398379952216654,-0.04976669814122209,-0.1688415429538899,-0.1543736646935487
spectral_centroid_hz,0.19661823639903891,0.1926191702919813,0.12473486769972908,0.2000063086765306,0.12473486770030043,0.4793586644587767,0.20000630867721242,-0.06111162346095034,0.24558377927339697,0.8540068070039679,1.0,0.742928491031573,0.7813463253974812,0.8418410022114259,0.3903276351685305,-0.3236535850593206,0.196618236399039,0.20000630867721245
spectral_bandwidth_hz,-0.13483039896938473,-0.13121701298118632,-0.09456022041735737,-0.01312694051747296,-0.09456022040974553,0.6314728763243023,-0.013126940518937615,0.29496627493087013,-0.11664088980133447,0.6964053221738945,0.742928491031573,1.0,0.984800423418396,0.3328837051348019,0.11663824812502673,0.22524061611954785,-0.13483039896938473,-0.013126940518937558
spectral_rolloff_95_hz,-0.023307209426501562,-0.01961012281738851,0.019560502897361352,0.0965330221266709,0.01956050290458867,0.5567821653684989,0.09653302212523146,0.2146222838316354,-0.081286071498082,0.7323976540012609,0.7813463253974812,0.984800423418396,1.0,0.35222248346490836,0.15766803355271822,0.14950577257675915,-0.02330720942650162,0.09653302212523152
